text,label
Өте атмосфералық және дәмді,1
"тамақтары өте дәмді күшті, Меруерт официант күшті, жақсы қызмет, кофе іші өте әдемі",1
Мерует официант өте керемет қызмет көрсетті бізге жылы көз қараспен қарап және өз қызметін жоғары денгейде істеді,1
Маған өте қатты ұнады екінші рет келуім. Тағамдары өте дәмді және тойымды. Ақерке сізге көп көп рахмет қызметіңізге,1
"Шашлыкофф өте жақсы екен, тамақтары жақсы екен. Алина өз ісінің маманы екен. Маған ұнады",1
"Тамақтары өте дәмді. Салаттары, ыстық тамағы да дәмді. Ресторанның іші жәйлі екен. Қызмет көрсетуі өте жоғары деңгейде. Рақмет, келесі тағы келемін.",1
Бүгін алғаш келдім !! Тамақғы өтте дәмді келіңіздер осы жерге,1
"Бүгін бірінші рет келдім, тамақтары дәмді жылдам алып келді, Ғалымжанға алғыс білдіремін керемет жеңілдіктер мен тамақтар ұсынды. Дәмді, жылдам",1
"Өте дәмді жер екен, барлық қызметкерлер сыпайы",1
"Дәмді, өте керемет! Береке берсін, кәсіптеріңізге",1
Донер дәмсіз. Дым ұнамады. Барлығы мақтағанға күшті деп ойлап едім үмітім ақталмады. Екінші бұл жерге бармаймын. Баруға да кеңес бермеймін.,0
"Лимонадтары өте жақсы, дайындып берген Руслан барменге рахмет, өте жоғары деңгейде әзірленген, Лимонадтарын ішіп көріңіздер күшті",1
"Лимонадтары өте жақсы , дайындып берген Руслан барменге рахмет ,өте жоғары деңгейде әзірленген,Лимонадтарын ішіп көріңіздер күшт",1
Өте керемет,1
Директор Асем келген клиентпен сөйлесу білмейді дөрекі даусын көтеріп салғыласып тұр директор осындай болса білмеймін,0
Бізге өте ұзақ уақыт күтуге тура келді. Оларға қызмет көрсету өте ұзақ уақытты алады. Мұндай үлкен мейрамханаға қызметкерлер тым аз. Мен оны ұсынбаймын.,0
"Қанаттар дәмді емес, кейбір жағымсыз иісі мен дәмі бар.",0
Өте нашар 1 сағатта әрең берді түк дәмі жоқ,0
"Тапсырысты 1.5 сағат күттім. Ашты емес таңдаған болатынмын, оған қарамай ашты жасады.",0
"Өте баяу қызмет көрсету, тамақ дәмді емес.",0
Өте жақсы өте жақсы,1
Кофе қышқыл сүттен жасалған қорқынышты болды. Нан өнімдері кешегі күннен қалған.,0
Әкімші дөрекі! Ол клиенттермен сыпайы сөйлесуді үйренуі керек!,0
Олар барған сайын нашарлайды.,0
Тәтті аларда абай болыңыздар. Бізге ашып кеткен тирамисуды әкелгенімен қоймай ақшасын да төлетті. Чизкейктер де тұрып қалған болып шықты. Көпке дейін жүректі айнытты. Сүйікті дәмханамыздың сапасының күн санап түсіп бара жатқаны өкінішті. Даяшыларды айғайлап жүріп әрең шақырамыз.,0
Өте лас,0
"Минустары: Іші масқара суық екен, официанттар қазақша білмейді. ",0
"Тазаланбаған, лас, стейктер онша емес",0
Мұндай асхана үшін қымбат.,0
"Дәмді емес, қымбат, каспи жоқ",0
"Тамақ жақсы, даяшының қызметі тамаша, бірақ кассадағы қызмет жиіркенішті. Олар қате сомаларды қағып алады, түбіртек сұрағанда – кассирдің жүзі несиеге ақша сұрап тұрғандай ренжіді, кассадағы дөрекі адамдар",0
"Қорқынышты қызметкерлер, мен сонда тегін тамақтанып жатқандай үнемі айқайлайды! Менің мұнда келгім келмейді. Тамақтың дәмі қорқынышты, менің ойымша, СЭС шақыру керек",0
"Астары күннен күнге дәмсіз:( Қызмет көрсету төмен- тамақ салып беретін адамнан бастап, кассадағы қыздарға дейін дөрекі сөйлейді. Ашылу уақыты таңғы 8де. Бірақ барсаң, бәрін шығарып үлгермейді - 10-15мин күту керек болады. Қара өрік қосылған етінің түрі фотода. Фарштары неден жасалғанын ойланудың өзі қорқынышты. Ғимаратта басқа асхана болмағасын асығыс бара қойған едік",0
"Қымбат, ұят, қантқа төлеу керек",0
Шымкент қаласындағы ең тәтті дәмді суши. Заказ беріңіздер рақмет айтасыздар.,1
Дәмді зор,1
"Ыңғайлы жерде орналасқан, іштегі сотрудниктері сыпайы, әрдайым жылы жүзбен қарсы алып шығарып салады. Бургер,чикен,лаваштары дәмді, қолжетімді бағада. Жиі осы жерден тамақтанып тұрамыз.",1
Лаваштары күшті қызмет көрсетуі жаксы әрбір қонақ маңызды,1
Жақсы екен,1
Өте керемет тағамдары супер,1
Керемет барлығы ұнайды клиенттеріңіз көп болсын. Табысты бола беріңіздер дами беріңіздер,1
Масқара чикендері адам жей алмайды қап қатты ақшасына тұрамайды алмаңыздар ұялмайсыңдарма қанша ақша аласыңдар осыған,0
"Глово арқылы заказ бергенбіз, фри піспеген. шауырмалары бұрыңғыдай үлкен емес, нанның 4/1 бөлігінен істеген. Бұрын күшті еді. заказ бермейміз",0
"бұзылған дәмі, лаваш и донер 2 фри алдық. Бұрын жақсы еді, қазір жей алмадық. Лаваш сырты шикі ғой аппақ қай оймен салып берді оны. Донерді айтпаяқ қояйын. Фридан сасыған майдын иісі шығады. Алдында келгеніміздеде май сасып жатқан күйдіріп, залға сасып. Бұл тамақ қой, обал емеспа? Қанша рет осы ТРЦ да жеп жүрмін. Бұрын жақсы болатын. Не мынау сұмдық қой. Тегін алып жатқан жоқпыз. Үйге барып ашып қойғасын тамақ болғасын қайтып әкелуге ұялдық. 1 ғана повар бұрын ЛС жақсы еді",0
"Заказды жарты сағат күттік,уақыт келгенде таусылып қалды деп тұр,неответсвенный былжыраған адамдар істейді,. Қанша уақытымыз күтумен кетті лаваш центр Уалиханова",0
"Лаваштары суып қалған,кетчуптың орнына майонез салып жіберген,лаваштың ішіндегі ет піспеген",0
"Тағамдары өте дәмді, официант қыз, админинстратор да өте сыпайы екен. Бізге ұнады",1
"Бізге бәрі ұнады, бәрі өте дәмді болды. Кофе үшін рахмет. Енді жиі келеміз. Қызметіңіз үшін рахмет, Линда!",1
Сыртқы бейне ештеңе шешпейді. 30 минут күттік тапсырыс беру үшін. Қашып жүрді қыздары.,0
"ең нашар кухня, өтірік мақтап жазып керек емес, ең нашар салат жей алмайсың, малға әкелген сияқты әкеліп тұр ",0
Артемге қонақжайлылық үшін рахмет өте ұқыпты әрі сапалы қызмет көрсетті.,1
"Атмосферасы ұнады. Қызмет көрсетуі жоғары нәтижеде. Кухнясы маған ұнады, бірақ салаттың соусы аз болып, құрғақ болып қалды. Жолдасыма “цомян” тағамы ұнамады. Ішінде кинза бар екен. Балаларға ойын алаңы бар. Баламен барғанда ыңғайлы екен. Жалпы маған ұнады, әсіресе қызмет көрсету сапасы.",1
Қазақ тілінде қызмет көрсетпейді,0
Іші өте суық,0
Біз тапсырысты ұзақ күттік.,0
"Администратор қыз қазақша білмейді, дөрекі сөйлеседі. Мен орысша түсінбеймін, қазақша айтыңызшы десем де орысшалап өзіме ұрысып кетті. Тамақтары өте ұзақ, ең аз дегенде 40 минутта дайындалады. Әр тамақ әр уақытта келеді, зал бос болса да солай ұзақ болды. Мәзірдегі көп тамақ түрі жоқ. Пиццалары өте кішкентай мини-пицца, стандартқа мүлдем сәйкес келмейді. Қазақша мәзір жоқ. Бүгін бірінші және соңғы рет болдым бұл жерде. Отзывтардың барлығы өтірік жазылғандай екен",0
Нашар үш сағат күтті мұздай суып қалған тамақты алып келді.,0
Өте күшті жер екен қыздары молодец өте күшті қызымет көрсетті және бонустары бар екен риза болып қайттық сушилары да әдемі,1
"Маған дерматолог мазь жазып берген болатын, барлық аптеканы шарладым, 10 аптекаға барып таба алмадым! Бірақ дәл сол дәрінің аты басқа, бірақ құрамы барлығы бірдей түрін мубопел деген мазьді осы Фарматекада Руфина есімді фармацевті тауып берді! Барлығын түсіндіріп, қалай қолданатыныма дейін айтып түсіндіріп жіберді. Үлкен рақмет Сізге қатты қуандым,көмегіңізге рақмет",1
Заттарыңыз қымбат екен,0
"Консультант Айнур білікті маман, рақмет",1
Сәлеметсіздер ме ! Көп атекаларда дәрігердің берген назначениесін оқи алмап еді осы аптекада Руфина деген қыз оқып рекомендациясы күшті көмектесті . Алдында өзімде ауырып Қызымда ауырып қалып еді. Осы қыздың берген дәрілерінен кейін Аллаға шүкір Қызымда өзімде жақсымыз ,1
Ең жақсы аптека Іздегеніңді табасың.,1
Қымбат. Дюфастон 7500тг. Басқа аптекада 7100.Біз скидкамен сатамыз деп айтады өздері. Ешқандай скидка көрген жоқпын.,0
"Не бар, не жоқ екенін білмейді, сатушыны үйрету керек. Басқа аптекада басқаша. Дұрыс жауап жоқ.",0
Баратын жер емес екен,0
