text,label
"Ерте ерте ертеде, Ешкі жүні бөртеде, өте бір бай орман болыпты.",1
Бұл орманның аңдары саудамен айналысыпты.,1
Өте алғыр жануарлар осы орманда жиналыпты.,1
Бұл орманның патшасы әрине арыстан болыпты.,1
Олардың саудалары қалай жүзеге асыпты?,1
Аралардан алынған бал аюларға сатылыпты.,1
"Оның құнына ағаш тақтайлар алынып, базардың құнымен сәулетші құндыздарға өткізіліпті.",1
"Осылайша бір шама уақыт өткен соң саудалары алға баспай, аралар ақшаны азсынып, аюлар балды сапасыз көріп, кұндыздар алған тақтайларын ұнатпайтын болыпты.",1
"Не керек орман патшасы арыстан ел жұртқа масқара болмайын деп, әбден ойланып, толғанып отырғанда ойына бір ой келіпті.",1
«Мен өзі үлкен патшамын.,1
Саудамен айналысып нем бар?,1
"Одан да бір жерде отырып, аңдардың тапқан табысының жартысын салық ретінде алып отырмаймын ба?",1
Айтқаныма көнбегендерді қырып салайын.,1
Әй құрсын!,1
"Енді рахат, тыныш өмір сүретін кез келді! » депті.",1
"Дереу өлкедегі газет, теледидарға хабар беріп, барлық газет беттерінде, теледидар бағдарламаларында осы хабарды жариялапты.",1
"Патшаның заңына бағынбағандар патшаның алдына келіп, жеке есеп беруге мәжбүр болыпты.",1
"Сөйтіп, тер төгіп тапқан ақшаларының жартысы патшаға тиесілі болыпты.",1
Бұған аңдар не істерін білмепті.,1
Бір күні сәбіз саудагері қоянның ақылына бір ой келіпті.,1
Салық төлеуге де ең соңынан ол барыпты.,1
Тіпті арыстан қатты ашуланғаннан кейін қимылдапты.,1
"Арыстан ақырып, «Неге кеш келдің? » дегенде Қоян: Мырзам, жолда келе жатып орманға жаңадан келген бір арыстанды көрдім.",1
Бұдан былай салықты соған төлейді екенбіз.,1
"Одан жанымды әрең аман сақтап қалдым, депті.",1
"Не деп тұрғаныңды білесің ба, ей Қоян?",1
Бұл орманда екі патша бола ма?,1
Дереу мені оны көрген жеріңе алып бар.,1
"Көресіні көрсетейін мен оған, - депті арыстан.",1
"Мырзам, тағы бір мәселе бар, әлгі арыстан құдды сіз сияқты күшті, қуатты, ірі денелі.",1
"Оның үстіне патшаларыңа айта бар, «Маған қарсы шықпасын! » деді.",1
"Бұл сөздер арыстанның ашуын келтіріп, қоянды алдына салып отырып, айтқан жеріне келіпті.",1
"Сөйтсе, ол жерде бір құдық бар екен.",1
Қоян «Әлгі арыстанның сарайының есігі – осы» депті.,1
"Ашудан көзі аларған арыстан құдықтың басына келіп, «Мықты болсаң, шық! » деп ақырыпты.",1
Құдық өте терең болғандықтан арыстанның дауысы өзіне жаңғырып келеді.,1
"Тағы да құдықтың ішіне үңіліп: Арыстан болсаң шық, кімнің күшті екенін білейік, - деді.",1
Дәл сол дауыс өзіне қайтіп келеді.,1
Судың үстіндегі өз бейнесін көрген арыстан құдықтың ішіне атылып секіреді де су түбіне кетеді.,1
Осылайша залым патша өз жазасын көріпті.,1
"Ал қалған аңдар ақылды қоянға алғыстарын білдіріп, сый-сияпаттар беріпті.",1
Ертеде бір мүйізсіз лақ болыпты.,1
Оның барлық отбасы мүшелері мүйіздермен болған.,1
"Бұл айырмашылығын көріп, кішкентай лақ соған өте қапаланған.",1
"Сол жағдайды түзету үшін, лақ өзіне жаңа мүйізді іздеуге шығып, орманға қарай қашады.",1
"Орманға келгенде кішкентай лақ көп ағаштардың бұтақтарын көріп, «Қалай олар үлкен мүйіздерге ұқсайды, мен жинап, олардан өзіме мүйіз жасайын» деп ойлайды.",1
"Екі күн бойы лақ мүйіз жасап, үйіне оралады.",1
Ол ата-анасына мақтанып:- Менде ең үлкен және әдемі мүйіз бар! – деп мақтанады.,1
Ата-анасы оған үндемейді.,1
Бір ай өтеді.,1
"Өкінішке орай, бұтақтар құрғап қалып, түсе бастайды.",1
"Оны көріп, лақтың көңілі қайтадан бұзылады.",1
"Сонда Ешкі-ана:- Лағым-ау, сен неге өз-өзінді алдап жүрсің? - деп сұрайды. - Өйткені сіздердің барлықтарыңызда мүйіз бар, ал менде жоқ.",1
Мен де мүйізді болғым келеді!,1
"Неге менде мүйіз жоқ? - деп өксіп жылап, анасынан сұрайды.",1
Анасы:- Себебі сен әлі кішкентайсың!,1
"Үлкейгенде сенің мүйіздерін өседі, - деп жауап береді Ешкі-ана.",1
Бес-алты ай өтеді.,1
Көктем келгенде лақтың мүйізі өседі.,1
"Соған лақ текеге оралып:- Анашым, анашым, менде мүйіз өсті! -деп, қуанып айқайлайды.",1
Сонда лақ ешқашан мақтанбау және өтірік айтпау керек екенін түсінеді.,1
"Қазақ халқының ұлттық ертегілері Күндердің күнінде бір торғай ұшып кеп, бір шаруаның қорасына қонады да, шашылған дәндерді теріп жей бастады.",1
"Мұны көріп, қожайынынң мысығы бір мүйістің тасасында тұрып ториды.",1
Аңдып отырған мысық бір мезетте шоршып барып торғайды бас салады.,1
Қанатынан қапсыра тістеп тұрып: — Енді бір жақсылап тоятын болдым!,1
— дейді.,1
"— Ей, мысық мырза, ұялсаңшы!",1
"Жуынғанды ұмытып барасыз ғой, өзі!",1
"Өзіңіздің қожайыныңыз да, оның әйелі де, жуынғаннан кейін барып тамақ жейді, — дейді торғай.",1
"— Оның да дұрыс екен-ау, — деп мысық жақсылап жуынып, сүртіну үшін алдыңғы аяғын тұмысығына апарады.",1
"Сол кезде торғай, ұзақ ойланып жатпай, жалт береді!",1
"Қанатын қағып, ұшады да кетеді!",1
Мысық ыза болады.,1
Содан бері қарай мысық атаулы тамақ жегеннен кейін жуынатын болған екен.,1
Бұрынғы заманда бір үлкен шаһар бар екен.,1
Бұл шаһардың ханы болыпты.,1
"Ол күнде жаман киініп, жай кісі болып, шаһарды, базарды аралап жүреді екен.",1
"Күндерде бір күн хан базарды аралап келе жатып, басына бір кесек алтын, аяғына бір кесек алтын қойып жатқан бір адамды көреді.",1
"Мұны көріп, хан таң қалып, неше күндей мұны сыртынан бағып жүреді.",1
"Бұл адам ерте де, кеш те бір қалыпта: басына, аяғына бір-бір кесек алтын қойып жатады.",1
"Ақырында, бір күні хан: - Сен не қылған адамсың? - деп сұрайды.",1
"Ол адам басын көтеріп: - Мен ақыл сатушымын, - дейді. - Олай болса, маған бір ақыл сатшы, - дейді патша.",1
"Сонда ол адам: - Құп болады, бірақ әр ақылымның бағасы мың алтын, - дейді.",1
"Хан санап, мың алтын береді.",1
"Сонда ақыл сатушы: - Не істесең де ойлап істе, ойламай іс қылсаң, қор боласың, - дейді.",1
"Мұнан соң хан ордасына келіп, баяғы сөзді әрбір көзге түсетін жерлерге, орамал-дастарқанға дейін жазып қояды.",1
